ThemeID,Category,Theme,Difficulty,ShortDescription
142,Loser handling in suit contracts,Reduce losers by trumping in dummy,Beginner,Use short-hand ruffs to remove small losers
143,Loser handling in suit contracts,Combining chances to eliminate losers,Intermediate,Use multiple lines so contract succeeds if any works
144,Loser handling in suit contracts,Choosing which loser to attack first,Intermediate,Prioritize loser most urgent or easiest to solve
145,Loser handling in suit contracts,Eliminating a loser on a long suit,Intermediate,Build long-suit winner for a discard
146,Loser handling in suit contracts,Eliminating a loser via loser-on-loser,Intermediate,Throw one loser on another suit loser
147,Loser handling in suit contracts,Eliminating a loser via ruffing finesse,Advanced,Use ruffing finesse to dispose of a loser
148,Loser handling in suit contracts,Avoiding creating an extra loser,Beginner,Do not take line that opens new losing trick
149,Loser handling in suit contracts,Protecting against bad breaks while handling losers,Advanced,Choose safe line against unfavorable distribution
150,Loser handling in suit contracts,Timing loser disposal,Intermediate,Dispose of losers before defenders can attack
151,Notrump play themes,Count winners before taking tricks,Beginner,Plan from sure tricks at trick one
152,Notrump play themes,Identify the suit to develop,Beginner,Choose best target suit for extra tricks
153,Notrump play themes,Choose between immediate cashing and development,Beginner,Balance safety of current winners with need for more tricks
154,Notrump play themes,Preserve entries to the long suit,Beginner,Keep access to run established winners later
155,Notrump play themes,Hold up to cut communications,Intermediate,Duck opening lead strategically
156,Notrump play themes,Avoid the dangerous defender,Intermediate,Keep wrong opponent off lead in notrump
157,Notrump play themes,Knock out the stopper,Beginner,Force out key honor before running suit
158,Notrump play themes,Establish side suit with limited stoppers,Intermediate,Develop winners before defense runs their suit
159,Notrump play themes,Keep control of the hand,Intermediate,Do not let tempo slip away while developing
160,Notrump play themes,Use multiple suits for trick development,Intermediate,Combine more than one source of extra tricks
161,Notrump play themes,Play on the suit opponents helped establish,Intermediate,Exploit lead or switch that gifts tempo
162,Notrump play themes,Build tricks from length,Beginner,Use long suits for extra winners
163,Notrump play themes,Build tricks from honors,Beginner,Use finesse or force-out to create tricks from strength
164,Notrump play themes,Notrump end position planning,Advanced,Visualize endgame before cashing winners
165,Notrump play themes,Managing tempo in notrump,Intermediate,Use trick timing to stay ahead of defenders race
166,Notrump play themes,When to duck an opening lead,Beginner,Decide if hold-up gains more than immediate win
167,Notrump play themes,When to win immediately,Beginner,Take stopper at once when ducking is unsafe
168,Notrump play themes,Develop nine tricks before defense develops five,Intermediate,Win the race in game contracts
169,Notrump play themes,Using clues from opening lead,Intermediate,Infer honor location and shape from first card
170,Notrump play themes,Balancing safety vs aggression in notrump,Intermediate,Choose line based on contract urgency and danger
171,Combination plays and percentage play,Finesse or play for the drop,Intermediate,Compare honor location odds with split odds
172,Combination plays and percentage play,Combining a finesse with a ruff,Advanced,Use both suit-position and ruffing chances
173,Combination plays and percentage play,Combining two finesses,Advanced,Sequence finesses to maximize overall chance
174,Combination plays and percentage play,Finesse plus length,Intermediate,Use one finesse as backup to establishment line
175,Combination plays and percentage play,Drop plus ruff,Intermediate,Play for honor to fall but keep ruff fallback
176,Combination plays and percentage play,Cash first then finesse,Intermediate,Take line that gathers information before guessing
177,Combination plays and percentage play,Finesse first then fallback line,Intermediate,Try finesse before resorting to lower-value plan
178,Combination plays and percentage play,Play for split honors,Advanced,Assume missing honors divide between defenders
179,Combination plays and percentage play,Percentage line with missing queen,Intermediate,Choose line with best odds for queen location or drop
180,Combination plays and percentage play,Percentage line with missing king,Intermediate,Choose line with best odds for missing king
181,Combination plays and percentage play,Restricted choice,Advanced,Use appearance of one honor to revise odds for the other
182,Combination plays and percentage play,Missing queen-doubleton decisions,Advanced,Handle suit based on odds of short queen
183,Combination plays and percentage play,Missing jack-ten combinations,Advanced,Apply suit-combination percentages to intermediates
184,Combination plays and percentage play,Combining chances in trump suit,Advanced,Use multiple trump lines to safeguard contract
185,Combination plays and percentage play,Combining chances in side suit,Intermediate,Blend lines in side suit for best aggregate chance
186,Combination plays and percentage play,Avoiding low-percentage brilliance,Intermediate,Prefer sound line over flashy but unlikely play
187,Combination plays and percentage play,Choose line based on contract needs,Intermediate,Take safer line if only one extra trick needed
188,Combination plays and percentage play,Take safest line for contract,Beginner,Prioritize making contract over extra gain
189,Combination plays and percentage play,Take best line for overtrick,Intermediate,Accept added risk when contract is already secure
190,Combination plays and percentage play,Play for the field vs matchpoint overtrick,Advanced,Adjust choice for scoring format and field tendencies
191,Safety plays,Basic safety play in one suit,Intermediate,Make line that guards against bad split at small cost
192,Safety plays,Give up an extra chance to guard against bad break,Intermediate,Accept lower ceiling to preserve contract
193,Safety plays,Safety play to protect contract,Intermediate,Choose line whose goal is certainty not overtricks
194,Safety plays,Safety play in trumps,Advanced,Handle trump suit to protect against dangerous layout
195,Safety plays,Safety play against dangerous break,Advanced,Guard specifically against bad distribution
196,Safety plays,Safety play with missing queen,Advanced,Use restricted line to avoid disaster
197,Safety plays,Safety play with missing honor doubleton,Advanced,Play suit to survive awkward honor location
198,Safety plays,Preserve communication while making safety play,Advanced,Combine safe line with entry management
199,Safety plays,Difference between percentage play and safety play,Intermediate,Understand best average line versus best contract-protection line
200,Safety plays,When safety play costs an overtrick,Intermediate,Know when to sacrifice upside for security
201,Endplay and elimination basics,Eliminate side suits,Advanced,Strip all exit cards before throwing defender in
202,Endplay and elimination basics,Throw defender in,Advanced,Concede trick to force helpful return
203,Endplay and elimination basics,Endplay to force lead away from honor,Advanced,Put defender on lead so they lead into your tenace
204,Endplay and elimination basics,Endplay to concede ruff-and-discard,Advanced,Force defender to give ruff and sluff
205,Endplay and elimination basics,Simple strip and endplay,Advanced,Remove side suits then exit to defender
206,Endplay and elimination basics,Rectify the count for an endplay,Advanced,Lose necessary trick before executing endplay
207,Endplay and elimination basics,Identify endplay position early,Advanced,Spot throw-in possibility before cashing wrong cards
208,Endplay and elimination basics,Create the endplay by ducking,Advanced,Duck earlier trick to place lead later
209,Endplay and elimination basics,Create the endplay by removing exits,Advanced,Strip defenders safe cards before exit
210,Endplay and elimination basics,Throw-in with trump still out,Advanced,Manage endplay despite remaining trump complication
211,Endplay and elimination basics,Trump endplay basics,Advanced,Use trumps as part of throw-in or forced return
212,Endplay and elimination basics,Avoidance plus endplay,Advanced,Keep dangerous hand off lead while engineering throw-in
213,Endplay and elimination basics,Exit card management,Advanced,Preserve the right small card for throw-in
214,Endplay and elimination basics,Duck to place the lead,Advanced,Lose trick intentionally to desired defender
215,Endplay and elimination basics,Throw-in to solve a guess,Advanced,Use endplay to avoid finesse guess yourself
216,Squeeze foundations,Recognizing squeeze potential,Advanced,Notice one defender may be guarding too much
217,Squeeze foundations,Count winners for squeeze position,Advanced,See if one loser and full winners create squeeze chance
218,Squeeze foundations,Rectify the count,Advanced,Lose a trick before running squeeze winners
219,Squeeze foundations,Cash winners in proper order,Advanced,Preserve threats and entries while squeezing
220,Squeeze foundations,Simple squeeze against one defender,Advanced,Force one defender to abandon a guarded suit
221,Squeeze foundations,Positional squeeze basics,Advanced,Squeeze works only against one specific defender
222,Squeeze foundations,Automatic squeeze basics,Advanced,Either defender is squeezed by universal position
223,Squeeze foundations,Squeeze against a defender guarding two suits,Advanced,Attack one defender overloaded with guards
224,Squeeze foundations,Entry management for squeeze,Advanced,Keep access to cash squeeze card and enjoy threat
225,Squeeze foundations,Avoid blocking before squeeze,Advanced,Do not strand threat suit before squeeze card is played
226,Squeeze foundations,Strip squeeze basics,Advanced,Combine elimination with squeeze pressure
227,Squeeze foundations,Squeeze to produce an endplay,Advanced,Use squeeze discard to create throw-in
228,Squeeze foundations,Double squeeze introduction,Advanced,Pressure both defenders in different suits
229,Squeeze foundations,Threat cards and menace basics,Advanced,Identify threat suits and entry requirements
230,Squeeze foundations,Recognizing when a squeeze is impossible,Advanced,Avoid chasing squeeze with missing prerequisites
231,Trump coups and advanced trump technique,Uppercut or trump promotion,Advanced,Force opponent to ruff high and promote your trump
232,Trump coups and advanced trump technique,Force and promotion,Advanced,Repeated forcing to create extra trump winner
233,Trump coups and advanced trump technique,Simple trump coup,Advanced,Reduce trumps to equal length then force defender to lead
234,Trump coups and advanced trump technique,Shortening trumps for trump coup,Advanced,Ruff losers to prepare coup ending
235,Trump coups and advanced trump technique,Reduce to equal trump length,Advanced,Match defenders trump length before coup
236,Trump coups and advanced trump technique,Overruff trap,Advanced,Set position where defender must ruff and you overruff profitably
237,Trump coups and advanced trump technique,Force defender to overruff,Advanced,Engineer forced high ruff to gain later
238,Trump coups and advanced trump technique,Promotion through repeated forcing,Advanced,Promote trumps by making defenders ruff multiple times
239,Trump coups and advanced trump technique,Crossruff vs trump coup decision,Advanced,Choose between immediate ruffs and coup preparation
240,Trump coups and advanced trump technique,Entry timing in trump end positions,Advanced,Preserve exact entries for advanced trump ending
241,Dummy reversal,Basic dummy reversal,Advanced,Use declarer shortness for ruffs and dummy long trumps for control
242,Dummy reversal,Ruff losers in hand instead of dummy,Advanced,Reverse normal plan to gain extra tricks
243,Dummy reversal,Shorten hand trumps intentionally,Advanced,Ruff in hand to prepare reversal or coup
244,Dummy reversal,Use dummy's long trumps for control,Advanced,Draw or control with dummy after declarer ruffs
245,Dummy reversal,Count trump length for reversal,Advanced,Verify reversal remains safe against outstanding trumps
246,Dummy reversal,When dummy reversal is superior to normal play,Advanced,Spot hands where standard draw-trumps loses
247,Dummy reversal,Entry planning in dummy reversal,Advanced,Keep routes to dummy while shortening declarer
248,Dummy reversal,Avoid over-shortening the wrong hand,Advanced,Do not lose control by excessive ruffing
249,Defensive themes,Third hand high,Beginner,As third defender usually win partner lead cheaply and clearly
250,Defensive themes,Second hand low,Beginner,As second defender often play low smoothly
251,Defensive themes,Cover an honor with an honor,Beginner,Use standard cover principle when it promotes partner or removes entry
252,Defensive themes,When not to cover an honor,Intermediate,Recognize exceptions to automatic cover
253,Defensive themes,Opening lead from sequences,Beginner,Lead top of touching honors
254,Defensive themes,Opening lead from broken honors,Intermediate,Choose active lead from imperfect sequence
255,Defensive themes,Passive opening lead,Intermediate,Avoid giving declarer tempo or tricks
256,Defensive themes,Aggressive opening lead,Intermediate,Attack when setting tricks quickly matters
257,Defensive themes,Lead through strength,Intermediate,Attack declarer honors from one side
258,Defensive themes,Lead up to weakness,Intermediate,Lead toward weak visible holding in dummy or inferred hand
259,Defensive themes,Attacking notrump,Intermediate,Lead and continue suit to cash length tricks
260,Defensive themes,Leading against suit contracts,Beginner,Choose between trump lead passive lead or attacking lead
261,Defensive themes,Singleton opening lead,Intermediate,Lead singleton aiming for ruff
262,Defensive themes,Doubleton opening lead,Intermediate,Lead from doubleton for possible ruff or count
263,Defensive themes,Top of sequence lead,Beginner,Standard lead from touching honors
264,Defensive themes,Fourth-best lead,Intermediate,Lead fourth-best from length against notrump
265,Defensive themes,Attitude signals,Intermediate,Encourage or discourage partner continuation
266,Defensive themes,Count signals,Intermediate,Show parity to partner
267,Defensive themes,Suit preference signals,Advanced,Indicate side-suit interest by card choice
268,Defensive themes,Returning partner's suit,Beginner,Continue or return partner suit when indicated
269,Defensive themes,Switching to the killing suit,Intermediate,Find correct switch that defeats contract
270,Defensive themes,Forcing declarer,Intermediate,Lead side suit repeatedly to shorten declarer trumps
271,Defensive themes,Promoting partner's trump trick,Advanced,Use force to create extra trump winner
272,Defensive themes,Holding up an ace on defense,Advanced,Duck ace to cut declarer communication or preserve partner
273,Defensive themes,Duck defense to cut declarer's communication,Advanced,Withhold winner strategically
274,Defensive themes,Defensive counting,Intermediate,Place declarer shape and tricks accurately
275,Defensive themes,Placing declarer's shape,Intermediate,Infer distribution from bidding and early play
276,Defensive themes,Defending finesses,Intermediate,Choose smooth or cover play versus declarer guess
277,Defensive themes,Avoid helping declarer establish a suit,Intermediate,Exit safely instead of breaking suit for declarer
278,Defensive themes,Exit safely on defense,Advanced,Return card that does not concede tempo or finesse
279,Defensive themes,Endplay defense,Advanced,Avoid being thrown in or choose right discard
280,Defensive themes,Breaking up squeezes,Advanced,Unblock or discard correctly to defeat squeeze
281,Defensive themes,Discarding safely,Intermediate,Pitch cards without surrendering guards or tempo
282,Defensive themes,Falsecarding basics,Advanced,Deceive declarer without harming partner
283,Defensive themes,Defensive unblock,Advanced,Release honor or spot to keep suit running
284,Defensive themes,Lead-directing inferences from bidding,Intermediate,Use auction clues to choose defense plan
285,Opening lead themes,Lead top of sequence,Beginner,Standard attacking lead from touching honors
286,Opening lead themes,Lead fourth best,Intermediate,Standard notrump lead from long suit
287,Opening lead themes,Lead from touching honors,Beginner,Choose top honor lead from sequence
288,Opening lead themes,Lead from interior sequence,Intermediate,Use correct card from broken interior honor holding
289,Opening lead themes,Lead from unsupported ace,Intermediate,Know when ace lead is right or wrong
290,Opening lead themes,Lead from unsupported king,Intermediate,Evaluate risky king lead positions
291,Opening lead themes,Lead a singleton,Intermediate,Attack for ruff in suit contract
292,Opening lead themes,Lead trumps,Intermediate,Kill declarer ruffing plan with trump lead
293,Opening lead themes,Avoid underleading an ace in suit contracts,Beginner,Follow standard safety principle in suit defense
294,Opening lead themes,Lead partner's suit,Beginner,Trust partner suit when auction suggests strength
295,Opening lead themes,Lead unbid suit,Beginner,Attack untouched suit by default
296,Opening lead themes,Lead through strength,Intermediate,Choose lead attacking declarer likely honors
297,Opening lead themes,Lead up to weakness,Intermediate,Choose lead toward weak holding rather than through strength
298,Opening lead themes,Passive lead against slam,Intermediate,Avoid giving away trick against high-level contract
299,Opening lead themes,Attacking lead against game,Intermediate,Seek active lead that sets up quick winners
300,Opening lead themes,Choosing between active and passive leads,Intermediate,Balance risk and urgency at trick one
301,Declarer play by contract type,Partscore play,Beginner,Adjust risk and tempo in lower-level contracts
302,Declarer play by contract type,Game contract planning,Beginner,Prioritize making vulnerable game
303,Declarer play by contract type,Small slam technique,Advanced,Plan for 12 tricks with precise timing and safety
304,Declarer play by contract type,Grand slam technique,Advanced,Handle 13-trick contracts with no margin
305,Declarer play by contract type,Notrump partscore,Beginner,Develop just enough tricks in notrump partial
306,Declarer play by contract type,Notrump game,Intermediate,Win race to nine tricks with full planning
307,Declarer play by contract type,Major-suit game,Intermediate,Combine loser handling and trump control in game
308,Declarer play by contract type,Minor-suit game,Intermediate,Use side suits and length in minor-suit contracts
309,Declarer play by contract type,Slam in trumps,Advanced,Use control and loser elimination in high suit contracts
310,Declarer play by contract type,Slam in notrump,Advanced,Focus on precise entries and combined chances
311,Suit combination themes,AK opposite small,Beginner,Handle basic force-out or cashing suit combination
312,Suit combination themes,AQ opposite small,Beginner,Decide whether to finesse or play for drop
313,Suit combination themes,KQ opposite small,Intermediate,Manage entry and lead direction without ace
314,Suit combination themes,AJ opposite small,Intermediate,Standard finesse and fallback issues
315,Suit combination themes,KJ opposite small,Intermediate,Infer whether to finesse or duck
316,Suit combination themes,QJ opposite small,Intermediate,Handle intermediate honor combination efficiently
317,Suit combination themes,AQJ opposite small,Intermediate,Choose suit line with one high card missing
318,Suit combination themes,KQJ opposite small,Intermediate,Manage missing ace or spots around strong sequence
319,Suit combination themes,AJ10 opposite small,Intermediate,Use touching intermediates to maximize tricks
320,Suit combination themes,KJ10 opposite small,Advanced,Handle three-card tenace combinations accurately
321,Suit combination themes,QJ10 opposite small,Advanced,Use intermediate spots to gain extra tricks
322,Suit combination themes,AQ opposite Jxx,Intermediate,Combine finesse and unblock considerations
